Constituency No,Constituency Name,Party,Candidate
1,Ichchapuram,TDP,Ashok Bendalam
1,Ichchapuram,YSRCP,Piriya Vijaya
1,Ichchapuram,BSP,Bisai Vedavara
1,Ichchapuram,INC,Masupatri Chakravarthi Reddy
1,Ichchapuram,Independent,Surya Vara Prasada Rao Jannela
1,Ichchapuram,BCYP,Baddi Mukhalingam
1,Ichchapuram,JRBP,Labala Viswanadham
1,Ichchapuram,Independent,Murapala Lakshmi
1,Ichchapuram,Independent,Suggu Chakravarthi
1,Ichchapuram,NOTA,None Of The Above
2,Palasa,YSRCP,Appalaraju Seediri
2,Palasa,TDP,Gouthu Sireesha
2,Palasa,INC,Majji Trinath Babu
2,Palasa,BSP,Nagiri Srinivasa Rao
2,Palasa,JBNP,Anil Raju GMS
2,Palasa,BCYP,Appalaraju Moturu
2,Palasa,CPI(ML)(L),Kameswararao Pothanapalli
2,Palasa,Independent,Karni Venkataramana Murty
2,Palasa,Independent,Telagavalasa Jayaram
2,Palasa,Independent,D. Veeraswami
2,Palasa,NOTA,None Of The Above
3,Tekkali,Telugu Desam,Atchannaidu Kinjarapu
3,Tekkali,Indian National Congress,Killi Krupa Rani
3,Tekkali,Bahujan Samaj Party,Chintada Srinivasa Rao
3,Tekkali,Yuvajana Sramika Rythu Congress Party,Duvvada Srinivas
3,Tekkali,Jai Bharat National Party,Bypalli Parameswararao
3,Tekkali,Independent,Attada Rajesh
3,Tekkali,Independent,Geddavalasa Ramu
3,Tekkali,None of the Above,NOTA
4,Pathapatnam,Indian National Congress,Koppurautu Venkata Rao
4,Pathapatnam,Bahujan Samaj Party,Boddepalli Krishna Rao
4,Pathapatnam,Telugu Desam,Mamidi Govinda Rao
4,Pathapatnam,Yuvajana Sramika Rythu Congress Party,Reddy Shanthi
4,Pathapatnam,Jai Bharat National Party,Golla Tirupathi Rao
4,Pathapatnam,Gondwana Dandkaranya Party,Janni Sanjeeva Rao
4,Pathapatnam,Independent,Asapanna Sankara Rao
4,Pathapatnam,Independent,Koyyana Govinda Rao
4,Pathapatnam,Independent,Baggu Krushna
4,Pathapatnam,Independent,R. Mohana Rao
4,Pathapatnam,None of the Above,NOTA
5,Srikakulam,Indian National Congress,Ambati Krishna Rao
5,Srikakulam,Bahujan Samaj Party,Gujjala Suryanarayana
5,Srikakulam,Telugu Desam,Gondu Shankar
5,Srikakulam,Yuvajana Sramika Rythu Congress Party,Dharmana Prasada Rao
5,Srikakulam,Pyramid Party of India,Kari Lakshmana
5,Srikakulam,Bharatha Chaitanya Yuvajana Party,Panili Prasad
5,Srikakulam,Jai Bharat National Party,Ragolu Nagasiva
5,Srikakulam,None of the Above,NOTA
6,Amadalavalasa,Indian National Congress,Annajirao Sanapala
6,Amadalavalasa,Telugu Desam,Koona Ravi Kumar
6,Amadalavalasa,Yuvajana Sramika Rythu Congress Party,Thammineni Seetaram
6,Amadalavalasa,Bahujan Samaj Party,Someswara Rao Lasa
6,Amadalavalasa,Jaathia Chethi Vruthula Ikya Vedika Party,Gurugu Revathi
6,Amadalavalasa,Jai Bharat National Party,Buridi Gouri Shankar
6,Amadalavalasa,Pyramid Party of India,Muddada Madhusudana Rao
6,Amadalavalasa,Bharatha Chaitanya Yuvajana Party,Sepena Srinivasa Rao
6,Amadalavalasa,Independent,Ganapathi Jagadeeswara Rao (Jagadeesh)
6,Amadalavalasa,Independent,Gandhi Suvvari
6,Amadalavalasa,Independent,Muddada Rambujji
6,Amadalavalasa,Independent,Lolugu Venkata Rajasekhar
6,Amadalavalasa,Independent,Sanapala Suresh Kumar
6,Amadalavalasa,None of the Above,NOTA
7,Etcherla,Bharatiya Janata Party,Eswara Rao Nadukuditi
7,Etcherla,Indian National Congress,Karimajji Malleswara Rao
7,Etcherla,Yuvajana Sramika Rythu Congress Party,Kiran Kumar Gorle
7,Etcherla,Bahujan Samaj Party,Gantlana Ramarao
7,Etcherla,Pyramid Party of India,Koneti Neelachalam
7,Etcherla,Jai Bharat National Party,Barri Korlayya
7,Etcherla,Independent,Nadupuru Eswara Rao
7,Etcherla,Independent,Gorle Kiran Kumar
7,Etcherla,Independent,Gorle Rambabu
7,Etcherla,Independent,Ramya Suvvaru
7,Etcherla,None of the Above,NOTA
8,Narasannapeta,Yuvajana Sramika Rythu Congress Party,Krishnadas Dharmana
8,Narasannapeta,Indian National Congress,Manthri Narasimhamaurthy
8,Narasannapeta,Telugu Desam,Baggu Ramanamurthy
8,Narasannapeta,Navarang Congress Party,Kaya Kameswari
8,Narasannapeta,Jai Bharat National Party,Cheepuru Ravi
8,Narasannapeta,Independent,Bora Venkata Satyendranath Abhishek
8,Narasannapeta,Independent,Mylapalli Jagadeesh
8,Narasannapeta,None of the Above,NOTA
9,Rajam,Indian National Congress,Kambala Rajavardhana
9,Rajam,Telugu Desam,Kondru Murali Mohan
9,Rajam,Yuvajana Sramika Rythu Congress Party,Dr. Tale Rajesh
9,Rajam,Bahujan Samaj Party,Boccha Buddudu
9,Rajam,Jai Bharat National Party,Kuppili Chaitanyakumar
9,Rajam,Jaibhim Rao Bharat Party,Podugu Ramakrishna
9,Rajam,Independent,Yenni Raju
9,Rajam,Independent,Gandi Apparao
9,Rajam,Independent,Majji Ganapathi
9,Rajam,Independent,Mannena Ramesh
9,Rajam,None of the Above,NOTA
10,Palakonda,Indian National Congress,Chanti Babu Savara
10,Palakonda,Yuvajana Sramika Rythu Congress Party,Viswasarayi Kalavathi
10,Palakonda,Bahujan Samaj Party,Vooyaka Bhanu Chandar
10,Palakonda,Jatiya Jana Sena Party,Krishna Nimmaka
10,Palakonda,Janasena Party,Jayakrishna Nimmaka
10,Palakonda,Navarang Congress Party,Jaipalu Kadraka
10,Palakonda,Gondwana Dandkaranya Party,Biddika Uma Maheswara Rao
10,Palakonda,None of the Above,NOTA
11,Kurupam,Telugu Desam,Jagadeeswari Thoyaka
11,Kurupam,Bahujan Samaj Party,Tadangi Minnarao
11,Kurupam,Yuvajana Sramika Rythu Congress Party,Pamula Pushpa Sreevani
11,Kurupam,Communist Party of India (Marxist),Mandangi Ramana
11,Kurupam,Independent,Addakula Geetharani
11,Kurupam,Independent,Tadangi Srihari Rao Naidu
11,Kurupam,Independent,Mosuru Naga Bushan
11,Kurupam,None of the Above,NOTA
12,Parvathipuram,Yuvajana Sramika Rythu Congress Party,Alajangi Jogarao
12,Parvathipuram,Bahujan Samaj Party,Kuppili Venkata Ramana
12,Parvathipuram,Indian National Congress,Bathina Mohanarao
12,Parvathipuram,Telugu Desam,Bonela Vijaya Chandra
12,Parvathipuram,Jaibhim Rao Bharat Party,Gunta Jyothi
12,Parvathipuram,Jai Bharat National Party,Potnuru Kiran Kumar (Raj Kiran)
12,Parvathipuram,Independent,Udaya Bhanu Garbhapu
12,Parvathipuram,Independent,Garbhapu Mohana Rao
12,Parvathipuram,None of the Above,NOTA
13,Salur,Telugu Desam,Gummidi Sandhyarani
13,Salur,Bahujan Samaj Party,Muvvala Gnanaprakasam
13,Salur,Indian National Congress,Muvvala Pushpirao
13,Salur,Yuvajana Sramika Rythu Congress Party,Rajanna Dora Peedika
13,Salur,Samajwadi Party,Pusuru Sai
13,Salur,Independent,Kanchuri Bangaru Raju
13,Salur,Independent,Kella Murali
13,Salur,None of the Above,NOTA
14,Bobbili,Indian National Congress,Maripi Vidyasagar (Vinay)
14,Bobbili,Telugu Desam,R.V.S.K.K. Ranga Rao @ Babynayana
14,Bobbili,Yuvajana Sramika Rythu Congress Party,Venkata China Appala Naidu Sambangi
14,Bobbili,Bahujan Samaj Party,Savalapuram Ramana
14,Bobbili,Samajwadi Party,Kiran Kumar Reddy
14,Bobbili,Jaibhim Rao Bharat Party,Maradana Venkata Naidu
14,Bobbili,Independent,Prasanth Aketi
14,Bobbili,Independent,Marrapu Bhanu Murty
14,Bobbili,None of the Above,NOTA
15,Cheepurupalle,Indian National Congress,Aadinarayana Jammu
15,Cheepurupalle,Telugu Desam,Kalavenkatarao Kimidi
15,Cheepurupalle,Yuvajana Sramika Rythu Congress Party,Botcha Satyanarayana
15,Cheepurupalle,Bahujan Samaj Party,Sabbi Satyanarayana
15,Cheepurupalle,Reforms Party of India,Adapaka Suribabu
15,Cheepurupalle,Jaibhim Rao Bharat Party,Kanigiri Srinivasarao
15,Cheepurupalle,Independent,Gurugubelli Appalanaidu
15,Cheepurupalle,None of the Above,NOTA
16,Gajapathinagaram,Yuvajana Sramika Rythu Congress Party,Appalanarasayya Botcha
16,Gajapathinagaram,Telugu Desam,Kondapalli Srinivas
16,Gajapathinagaram,Bahujan Samaj Party,Chelluboina Srinu
16,Gajapathinagaram,Indian National Congress,Dola Srinivas
16,Gajapathinagaram,Pyramid Party of India,Kakarlapudi Sandhya
16,Gajapathinagaram,Samajwadi Party,Kilaparthi Kumar Raja
16,Gajapathinagaram,Naba Bharata Nirmana Seva Party,Kotthali Gowri Naidu
16,Gajapathinagaram,Jaibhim Rao Bharat Party,Penta Sankara Rao
16,Gajapathinagaram,Jai Bharat Party,Lenka Suryarao
16,Gajapathinagaram,Independent,Appalanaidu Kilari
16,Gajapathinagaram,Independent,Kurminaidu Gadapu
16,Gajapathinagaram,Independent,Talupula Sankar Rao
16,Gajapathinagaram,Independent,Mulagala Durga Rao
16,Gajapathinagaram,None of the Above,NOTA
17,Nellimarla,Yuvajana Sramika Rythu Congress Party,Appalanaidu Baddukonda
17,Nellimarla,Bahujan Samaj Party,Yerukonda Teja Rani
17,Nellimarla,Indian National Congress,Saragada Ramesh Kumar
17,Nellimarla,Reforms Party of India,Adapaka Suribabu
17,Nellimarla,Samajwadi Party,Karri Krishan
17,Nellimarla,Jaibhim Rao Bharat Party,Tompala Narasayya
17,Nellimarla,Akhil Bharatiya Jan Sangh,Nadipena Srinu
17,Nellimarla,Jatiya Jana Sena Party,Majji Nagamani
17,Nellimarla,Navarang Congress Party,Lenka Madhavi
17,Nellimarla,Janasena Party,Lokam Naga Madhavi
17,Nellimarla,Independent,Kandammatil Jayesh
17,Nellimarla,Independent,Pasupuleti Satya Prasad Babu
17,Nellimarla,None of the Above,NOTA
18,Vizianagaram,Telugu Desam,Aditi Vijayalakshmi Gajapathi Raju Pusapati
18,Vizianagaram,Bahujan Samaj Party,Arji Sivaprasad
18,Vizianagaram,Yuvajana Sramika Rythu Congress Party,Kolagatla Veerabhadra Swamy
18,Vizianagaram,Indian National Congress,Satish Kumar Sunkari
18,Vizianagaram,Samajwadi Party,Karunakar Penumatsa
18,Vizianagaram,Jatiya Jana Sena Party,Kalla Suri Babu
18,Vizianagaram,Yuga Thulasi Party,M.B. Gurunadha Sharma
18,Vizianagaram,Jaibhim Rao Bharat Party,Chintapalli Durga Rao
18,Vizianagaram,Akhil Bharatiya Jan Sangh,Polipalli Kiran Kumar
18,Vizianagaram,Independent,Geetha Meesala
18,Vizianagaram,Independent,Duddu Venkata Ramana
18,Vizianagaram,Independent,Padala Adinarayana
18,Vizianagaram,Independent,Pandriniki Venkata Ramana
18,Vizianagaram,Independent,Bhaskara Rao Chintapali
18,Vizianagaram,Independent,Suresh Kandivalasa
18,Vizianagaram,None of the Above,NOTA
19,Srungavarapukota,Yuvajana Sramika Rythu Congress Party,Kadubandi Srinivasa Rao
19,Srungavarapukota,Telugu Desam,Kolla Lalitha Kumari
19,Srungavarapukota,Indian National Congress,Gedela Tirupati
19,Srungavarapukota,Bahujan Samaj Party,Bonu Krishna
19,Srungavarapukota,Samajwadi Party,Vinnakota Jagannadha Rao
19,Srungavarapukota,Jatiya Jana Sena Party,Venkata Rao Yalla
19,Srungavarapukota,Independent,Golla Eswara Rao
19,Srungavarapukota,Independent,Chippada Seshagiri Rao
19,Srungavarapukota,Independent,Pididhi Eswaramma
19,Srungavarapukota,Independent,Bhaskarabhata Pushpalatha
19,Srungavarapukota,Independent,Lokabhi Ramakoti Kotyada
19,Srungavarapukota,Independent,Varadi Chiranjeevi
19,Srungavarapukota,None of the Above,NOTA
20,Bhimili,Indian National Congress,Venkata Varmaraju Addala
20,Bhimili,Telugu Desam,Ganta Srinivasa Rao
20,Bhimili,Bahujan Samaj Party,Bagam Gopala Rao
20,Bhimili,Yuvajana Sramika Rythu Congress Party,Muttamsetti Srinivasa Rao (Avanthi Srinivas)
20,Bhimili,Jai Bharat National Party,Elipilli Anil Kumar
20,Bhimili,Republican Party of India (A),Kola Haribabu
20,Bhimili,Jatiya Jana Sena Party,Ganta Srinivasarao
20,Bhimili,Samajwadi Party,Chodipalli Raju
20,Bhimili,Independent,Choppalli Saravan Ganesh
20,Bhimili,Independent,Nagamani Nagotu
20,Bhimili,Independent,Nookala Surya Prakash
20,Bhimili,Independent,Nandikolla Sandhya
20,Bhimili,Independent,Bavisetty Ramana Babu
20,Bhimili,Independent,Bugatha Ramu
20,Bhimili,Independent,Meka Sathya Kiran
20,Bhimili,None of the Above,NOTA
21,Visakhapatnam East,Indian National Congress,Guthula Srinivas Rao
21,Visakhapatnam East,Bahujan Samaj Party,Joseph Peter
21,Visakhapatnam East,Telugu Desam,Ramakrishna Babu Velagapudi
21,Visakhapatnam East,Yuvajana Sramika Rythu Congress Party,M V V Satyanarayana
21,Visakhapatnam East,Naba Bharata Nirmana Seva Party,Adapaka Dali Raju
21,Visakhapatnam East,Republican Party of India (A),Dr. Ganapathi Kongarapu
21,Visakhapatnam East,Praja Prasthanam Party,Thota Venkata Sai Mukund
21,Visakhapatnam East,Bharatha Chaitanya Yuvajana Party,Yedla Venugopala Krishna (Suman)
21,Visakhapatnam East,Pyramid Party of India,E. Hymavathi
21,Visakhapatnam East,Independent,Anagani Shiva Ramakrishna
21,Visakhapatnam East,Independent,Adada Ramani
21,Visakhapatnam East,Independent,Ummidi Bhaskar Rao
21,Visakhapatnam East,Independent,Barla Appala Padmakar Yadav
21,Visakhapatnam East,Independent,Vaddi Sirisha
21,Visakhapatnam East,None of the Above,NOTA
22,Visakhapatnam South,Bahujan Samaj Party,Kadiri Ramu
22,Visakhapatnam South,Yuvajana Sramika Rythu Congress Party,Ganesh Kumar Vasupalli
22,Visakhapatnam South,Indian National Congress,Vasupalli Santosh Kumar
22,Visakhapatnam South,Bhartiya Rashtriya Dal,Guntu Durga Prasad
22,Visakhapatnam South,Praja Prasthanam Party,Bura Srinivasu Rao
22,Visakhapatnam South,Jai Bharat National Party,Yerramsetty Suresh Kumar
22,Visakhapatnam South,Naba Bharata Nirmana Seva Party,Ravada Tata Rao
22,Visakhapatnam South,Jatiya Jana Sena Party,Vamsi Kirthi Kumar Buddhavarapu
22,Visakhapatnam South,Janasena Party,Ch. Vamsi Krishna Srinivas
22,Visakhapatnam South,Jai Maha Bharath Party,K. Sridevi
22,Visakhapatnam South,Samajwadi Party,Surada Yellaji
22,Visakhapatnam South,Independent,Kadagalla Eswararao
22,Visakhapatnam South,Independent,Killaparthi Mangaratnam
22,Visakhapatnam South,Independent,Dola Jagadesh
22,Visakhapatnam South,Independent,Tharakaram Lagisetti
22,Visakhapatnam South,Independent,J. Bipin Kumar Jain
22,Visakhapatnam South,None of the Above,NOTA
23,Visakhapatnam North,Yuvajana Sramika Rythu Congress Party,Kannaparaju Kammila (K.K. Raju)
23,Visakhapatnam North,Bahujan Samaj Party,Peddada Kanakamahalakshmi
23,Visakhapatnam North,Indian National Congress,Lakkaraju Rama Rao
23,Visakhapatnam North,Bharatiya Janata Party,Vishnu Kumar Raju Penmetsa
23,Visakhapatnam North,Samajwadi Party,Gumpula Sarat Babu
23,Visakhapatnam North,Naba Bharata Nirmana Seva Party,Chintada Suryamu
23,Visakhapatnam North,Jatiya Jana Sena Party,P. Jagadeesh
23,Visakhapatnam North,Jai Bharat National Party,Lakshmi Narayana V.V. (J D Lakshmi Narayana)
23,Visakhapatnam North,Independent,Koneti Eswara Veera Bhadracahri
23,Visakhapatnam North,Independent,Chappa Ramunaidu
23,Visakhapatnam North,Independent,Boddu Srinivas
23,Visakhapatnam North,Independent,Borra Ramesh
23,Visakhapatnam North,Independent,Yalamanchili Sahithi
23,Visakhapatnam North,Independent,Ronanki Chalapathi Rao
23,Visakhapatnam North,Independent,Vaddi Sirisha
23,Visakhapatnam North,None of the Above,NOTA
24,Visakhapatnam West,Bahujan Samaj Party,Athukumshetti Rama Chandra Rao
24,Visakhapatnam West,Yuvajana Sramika Rythu Congress Party,Adari Anand Kumar
24,Visakhapatnam West,Telugu Desam,P.G.V.R. Naidu (Ganababu)
24,Visakhapatnam West,Communist Party of India,Athili Vimala
24,Visakhapatnam West,Bharatha Chaitanya Yuvajana Party,Botta Koteswara Rao
24,Visakhapatnam West,Jatiya Jana Sena Party,Mandapati Srinivas Raju
24,Visakhapatnam West,Samajwadi Party,Ravi Kumar Velagada
24,Visakhapatnam West,Jai Bharat National Party,Venkata Ganesh Jaggumantri
24,Visakhapatnam West,Independent,Koyelada Jagadeesh
24,Visakhapatnam West,Independent,Jami Parvathi
24,Visakhapatnam West,Independent,Pediredla Nanaji
24,Visakhapatnam West,Independent,Vinjamuri Kiran Kumar
24,Visakhapatnam West,Independent,Hanumanthu Siva Chanukya Dora
24,Visakhapatnam West,None of the Above,NOTA
25,Gajuwaka,Yuvajana Sramika Rythu Congress Party,Avss Amarnath Gudivada
25,Gajuwaka,Communist Party of India (Marxist),Maradana Jaggunaidu
25,Gajuwaka,Bahujan Samaj Party,Apparao Nandikolla
25,Gajuwaka,Telugu Desam,Palla Srinivas Rao
25,Gajuwaka,Loktantrik Janta Dal,Thota Akkaiah
25,Gajuwaka,Jai Maha Bharath Party,Kandregula Adinarayana
25,Gajuwaka,Praja Prasthanam Party,Talapula Sailaja
25,Gajuwaka,Praja Shanthi Party,Anand Kilari
25,Gajuwaka,Naba Bharata Nirmana Seva Party,Bathula Neelakantam
25,Gajuwaka,Dalita Bahujana Party,Samuel John Dharmaraju Rayapati
25,Gajuwaka,Navataram Party,Sunkasuri Sarah Jyothi
25,Gajuwaka,Independent,Kakarlamudi Krishna Pradeep
25,Gajuwaka,Independent,Koviri Krishna
25,Gajuwaka,Independent,Srinivasa Rao Seemakurthi
25,Gajuwaka,None of the Above,NOTA
26,Chodavaram,Yuvajana Sramika Rythu Congress Party,Karanam Dharmasri
26,Chodavaram,Indian National Congress,Jagata Srinivasurao
26,Chodavaram,Bahujan Samaj Party,Vegi Mahalakshmi Naidu
26,Chodavaram,Telugu Desam,Surya Naga Sanyasi Raju Kalidindi
26,Chodavaram,Communist Party of India (Marxist–Leninist) (Liberation),Savirala Ganesh
26,Chodavaram,Independent,Pericharla Viveka Raju
26,Chodavaram,None of the Above,NOTA
27,Madugula,Yuvajana Sramika Rythu Congress Party,Anuradha Erli
27,Madugula,Bahujan Samaj Party,Karanam Tirupathi Rao
27,Madugula,Indian National Congress,Boddu Srinivasa
27,Madugula,Telugu Desam,Bandaru Satyanarayana Murthy
27,Madugula,Naba Bharata Nirmana Seva Party,Thalla Ravi
27,Madugula,Jaibhim Rao Bharat Party,Lekkala Eswara Rao
27,Madugula,Independent,Budi Ravi Kumar
27,Madugula,Independent,Mathala Arinaidu
27,Madugula,Independent,Mallarapu Lovachand
27,Madugula,None of the Above,NOTA
28,Araku Valley,Indian National Congress,Gangadharaswami Setty
28,Araku Valley,Bharatiya Janata Party,Rajarao Pangi
28,Araku Valley,Yuvajana Sramika Rythu Congress Party,Regam Matyalnigam
28,Araku Valley,Bahujan Samaj Party,Lake Rajarao
28,Araku Valley,Liberation Congress Party,Killo Anil Kumar
28,Araku Valley,Gondwana Dandakaranya Party,Chunchu Rajababu
28,Araku Valley,Jai Bharat National Party,Buridi Upendra
28,Araku Valley,Bharat Adivasi Party,Dr. Ramakrishna Puchapundi
28,Araku Valley,Independent,Abraham Siveri
28,Araku Valley,Independent,Eliah Chenda
28,Araku Valley,Independent,Kammidi Nirmala
28,Araku Valley,Independent,Gemmeli Krishnarao
28,Araku Valley,Independent,Naraji Madhu Babu
28,Araku Valley,Independent,Mosiya Sujatha
28,Araku Valley,Independent,Raghunadh Samardi
28,Araku Valley,Independent,Vanthala Ramanna
28,Araku Valley,Independent,Samardi Bhavani
28,Araku Valley,None of the Above,NOTA
29,Paderu,Bahujan Samaj Party,Appa Rao Surla
29,Paderu,Telugu Desam,Eswari Giddi
29,Paderu,Indian National Congress,Bulibabu Sataka
29,Paderu,Yuvajana Sramika Rythu Congress Party,Matsyarasa Visweswara Raju
29,Paderu,Bharatha Chaitanya Yuvajana Party,Killo Ranga Rao
29,Paderu,India Praja Bandhu Party,Joseph Kintukuri
29,Paderu,Jai Bharat National Party,Dumanthi Nageswara Rao
29,Paderu,Jai Maha Bharath Party,Bonku Arjunarao
29,Paderu,Samajwadi Party,Minumala Rambabu
29,Paderu,Independent,Adapa Vishnu Murthy
29,Paderu,Independent,Kokkula Kannababu
29,Paderu,Independent,Chetti Sankara Rao
29,Paderu,Independent,Cherrik Eprayam Babu
29,Paderu,Independent,Donkada Siva Prasad
29,Paderu,Independent,Valla Mounika
29,Paderu,Independent,Vanthala Subba Rao
29,Paderu,None of the Above,NOTA
30,Anakapalle,Indian National Congress,I. R. Gangadhar
30,Anakapalle,Yuvajana Sramika Rythu Congress Party,Bharath Kumar Malasala
30,Anakapalle,Bahujan Samaj Party,Sudhikonda Manikayala Rao
30,Anakapalle,Samajwadi Party,Ommi Venkat Yadav
30,Anakapalle,Pyramid Party of India,Ambikadevi Polamasetty
30,Anakapalle,Jai Bharat National Party,Kanisetty Suresh Babu
30,Anakapalle,Janasena Party,Konathala Ramakrishna
30,Anakapalle,Praja Prasthanam Party,Thota Venkata Sai Mukund
30,Anakapalle,Republican Party of India (Khobragade),Dommesi Apparao
30,Anakapalle,Prem Janata Dal,V. V. Ramachandra Rao Surisetty
30,Anakapalle,Independent,Alla Satti Raju
30,Anakapalle,Independent,Kapaprapu Satyanarayana
30,Anakapalle,None of the Above,NOTA
31,Pendurthi,Yuvajana Sramika Rythu Congress Party,Annamreddy Adeep Raj
31,Pendurthi,Bahujan Samaj Party,Bangari J. Ramana
31,Pendurthi,Indian National Congress,Bhagat Pirdii
31,Pendurthi,Pyramid Party of India,Eatha Roja
31,Pendurthi,Nationalist Janshakti Party,Eluru Venkata Ramana
31,Pendurthi,Jai Bharat National Party,Kanepalli Mahadev Kalyan Srikanth
31,Pendurthi,Janasena Party,Panchakarla Ramesh Babu
31,Pendurthi,Navarang Congress Party,Petchetti Ramesh Naidu
31,Pendurthi,Samajwadi Party,Bolem Venkata Murali Mohan
31,Pendurthi,Independent,Adari Nagaraju
31,Pendurthi,Independent,Kundrapu Sanyasi Rao
31,Pendurthi,Independent,Gunturu Venkata Narasimha Rao
31,Pendurthi,Independent,Ponnada Appala Naidu
31,Pendurthi,Independent,Vaddadi Udayakumar
31,Pendurthi,None of the Above,NOTA
32,Yelamanchili,Indian National Congress,Anantha Rama Narasingarao Thanakala
32,Yelamanchili,Yuvajana Sramika Rythu Congress Party,Uppalapati Venkata Ramanamurthy Raju
32,Yelamanchili,Bahujan Samaj Party,Lamba Srinivasa Rao
32,Yelamanchili,Pyramid Party of India,B. Ammajamma
32,Yelamanchili,Navarang Congress Party,Arjun Kumar Sundarapu
32,Yelamanchili,Jai Bharat National Party,Dadi Purna Chandra Rao
32,Yelamanchili,Reforms Party of India,Boja Nageswara Rao
32,Yelamanchili,Janasena Party,Sundarapu Vijay Kumar
32,Yelamanchili,Independent,Pragada Annapurna
32,Yelamanchili,Independent,Molleti Ramesh
32,Yelamanchili,None of the Above,NOTA
33,Payakaraopet,Telugu Desam,Anitha Vangalapudi
33,Payakaraopet,Bahujan Samaj Party,Kakara Narasimha Rao
33,Payakaraopet,Yuvajana Sramika Rythu Congress Party,Jogulu Kambala
33,Payakaraopet,Indian National Congress,Dr. Boni Tata Rao
33,Payakaraopet,Dalita Bahujana Party,Krishna Swaroop Vadlamuri
33,Payakaraopet,Jai Bharat National Party,Dulapalli Nageswar Rao
33,Payakaraopet,Prabuddha Republican Party,Paravada Ramakrishna
33,Payakaraopet,Independent,Boorthi Yesayya
33,Payakaraopet,Independent,Setibathula Dharmaraju
33,Payakaraopet,None of the Above,NOTA
34,Narsipatnam,Telugu Desam,Ayyanapatrudu Chintakayala
34,Narsipatnam,Yuvajana Sramika Rythu Congress Party,Uma Sankara Ganesh Petla
34,Narsipatnam,Bahujan Samaj Party,Botta Nagaraju
34,Narsipatnam,Indian National Congress,Ruthala Sirrama Murthy
34,Narsipatnam,Bharatha Chaitanya Yuvajana Party,Chandramouli Joga
34,Narsipatnam,Jaibhim Rao Bharat Party,Nethala Nageswar Rao
34,Narsipatnam,Independent,Paila Surya Ganesh
34,Narsipatnam,Independent,Baypureddi Bhadarchalam
34,Narsipatnam,None of the Above,NOTA
35,Tuni,Bahujan Samaj Party,Karri Nookaraju
35,Tuni,Indian National Congress,Gelam Srinivasarao
35,Tuni,Yuvajana Sramika Rythu Congress Party,Dadiseeti Raja
35,Tuni,Telugu Desam,Divya Yanamala
35,Tuni,Reforms Party of India,Yadala Ramakrishna
35,Tuni,Communist Party of India (Marxist–Leninist) (Liberation),Siva Vadaboyina
35,Tuni,Dalita Bahujana Party,Satish Dhuturthi
35,Tuni,Independent,Adi Venkata Satyanarayana Vegi
35,Tuni,Independent,Kona Ramakrishna
35,Tuni,Independent,Tamarana Apparao
35,Tuni,Independent,Bodapati Srinivasarao
35,Tuni,None of the Above,NOTA
36,Prathipadu,Indian National Congress,Neerukonda Veera Venkata Satyanarayana
36,Prathipadu,Bahujan Samaj Party,Burthi Srinu Babu
36,Prathipadu,Telugu Desam,Varupula Satya Prabha
36,Prathipadu,Yuvajana Sramika Rythu Congress Party,Varupula Subbarao
36,Prathipadu,Communist Party of India (Marxist–Leninist) (Liberation),Arjunarayegupati
36,Prathipadu,Pyramid Party of India,Aasina Srinivas
36,Prathipadu,Republican Party of India (A),Yedida Varaprasad Kumar
36,Prathipadu,Dalita Bahujana Party,Kondababu Netala
36,Prathipadu,Bharatha Chaitanya Yuvajana Party,Gompa Siva
36,Prathipadu,Jaibhim Rao Bharat Party,Daidisetty Veerababu
36,Prathipadu,Independent,Kothapalli Arjunan Rao
36,Prathipadu,Independent,Gontina Sivaraja
36,Prathipadu,Independent,Nammi Ganesh
36,Prathipadu,Independent,Pilli Balaramudu
36,Prathipadu,Independent,Surla Srinivasu
36,Prathipadu,None of the Above,NOTA
37,Pithapuram,Bahujan Samaj Party,Buli Raju Pratipati
37,Pithapuram,Indian National Congress,Madepalli Satyananda Rao
37,Pithapuram,Yuvajana Sramika Rythu Congress Party,Vanga Geetha Viswanath
37,Pithapuram,Janasena Party,Konidala Pawan Kalyan
37,Pithapuram,Jaibhim Rao Bharat Party,Jaggarrapu Mallikharjuna
37,Pithapuram,Bharatha Chaitanya Yuvajana Party,Tamanna Simhadri
37,Pithapuram,Telugu Janata Party,Pedimisetti Venkateswara Rao
37,Pithapuram,Pyramid Party of India,Madduri Veerababu
37,Pithapuram,Independent,Eeti Jagadeesh
37,Pithapuram,Independent,Yedida Bhaskar Rao
37,Pithapuram,Independent,Gowri Mani Bousetti
37,Pithapuram,Independent,Nagam Suribabu
37,Pithapuram,Independent,Sai Surya Nikhil Vegisetti
37,Pithapuram,None of the Above,NOTA
38,Kakinada Rural,Yuvajana Sramika Rythu Congress Party,Kurasala Kanna Babu
38,Kakinada Rural,Indian National Congress,Pilli Satya Lakshmi
38,Kakinada Rural,Bahujan Samaj Party,Sadhanala Raju
38,Kakinada Rural,Telugu Nava Garjana Party,Koramati Maharshi
38,Kakinada Rural,Jaibhim Rao Bharat Party,Dadala Babji
38,Kakinada Rural,Janasena Party,Pantam Venkateswara Rao (Pantam Nanaji)
38,Kakinada Rural,Jatiya Jana Sena Party,Pantala Venkateswara Rao
38,Kakinada Rural,Liberation Congress Party,Palivela Swaroop
